cik,sic,company,loc
0000020164,6189,"CHRYSLER FINANCIAL CORP",MI
0000020947,6189,"CLEVELAND ELECTRIC ILLUMINATING CO",OH
0000036604,6189,"FIRST NATIONAL BANK OF ATLANTA",DE
0000073960,6189,"OHIO EDISON CO",OH
0000100937,6189,"SIGNET BANK /VA/",MD
0000216543,6189,"BNY MELLON N.A.",PA
0000275157,6189,"CALIFORNIA FEDERAL BANK FSB",CA
0000275911,6189,"PROVIDENT BANK",MD
0000314643,6189,"WASHINGTON MUTUAL MORTGAGE SECURITIES CORP",IL
0000316692,6189,"CM CORP",FL
0000316905,6189,"HSBC BANK USA",NY
0000350001,6189,"Company Name Three `!#$(),:;=.-;\|@/{}&'\WA\",VA
0000352049,6189,"TOLEDO EDISON CO",OH
0000740104,6189,"BANK OF AMERICA NATIONAL TRUST & SAVING ASSOCIATION",CA
0000742454,6189,"LEHMAN CMO INC",NY
0000748269,6189,"SALOMON BROTHERS MORTGAGE SECURITIES II INC",TX
0000752302,6189,"GUARANTEED MORTGAGE CORP III",CO
0000754591,6189,"ELLISON RAY MORTGAGE ACCEPTANCE CORP",TX
0000757004,6189,"HALL INSTITUTIONAL MORTGAGE FUND LTD PARTNERSHIP",AZ
0000757078,6189,"PRESIDENTIAL MORTGAGE CO",CA
0000758387,6189,"TRITON CONTAINER INTERNATIONAL LTD",NY
0000761231,6189,"HOME MAC MORTGAGE SECURITIES CORP",NY
0000761631,6189,"SALOMON CAPITAL ACCESS CORP",NY
0000762153,6189,"MORGAN STANLEY DEAN WITTER CAPITAL I INC",NY
0000762852,6189,"COLLATERALIZED MORTGAGE SECURITIES CORP",NY
0000764061,6189,"TECHNOLOGY FUNDING SECURED INVESTORS II",CA
0000764062,6189,"TECHNOLOGY FUNDING SECURED INVESTORS I",CA
0000768600,6189,"NATIONAL MORTGAGE ACCEPTANCE CORP",VA
0000771980,6189,"FSF FINANCE CORP",DE
0000774352,6189,"RESIDENTIAL FUNDING MORTGAGE SECURITIES I INC",MN
0000775748,6189,"COUNTRYWIDE MORTGAGE OBLIGATIONS III INC",CA
0000780148,6189,"WFS FINANCIAL AUTO LOANS INC",CA
0000784013,6189,"ZIEGLER MORTGAGE SECURITIES INC II",WI
0000785818,6189,"MORTGAGE SECURITIES III TRUSTS A",WA
0000786149,6189,"INLAND MORTGAGE INVESTORS FUND LP",IL
0000786156,6189,"SUMMIT TAX EXEMPT BOND FUND LP",NY
0000786622,6189,"KRUPP INSURED PLUS LTD PARTNERSHIP",MA
0000789283,6189,"CAPITAL SENIOR LIVING COMMUNITIES L P",TX
0000789951,6189,"AMERICA FIRST PARTICIPATING PREFERRED EQUITY MORTGAGE FUND",NE
0000789952,6189,"AMERICA FIRST PARTICIPATING PREFERRED EQUITY MORTGA FUND L P",NE
0000790524,6189,"CORNERSTONE MORTGAGE INVESTMENT GROUP INC",MO
0000791344,6189,"RESIDENTIAL RESOURCES INC",CA
0000792428,6189,"GE CAPITAL MORTGAGE SERVICES INC",NJ
